ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POB20,EDU28,EDU31,P15mas.con.primaria.incompleta,P15mas.con.secundaria.completa,P15mas.con.secundaria.incompleta,P15mas.con.primaria.completa,P18mas.con.post,VIV2,VIV5_R,VIV6.complemento,VIV6,VIV14,VIV15,VIV16,VIV17,VIV19,VIV26
7,Chiapas,59,Ocosingo,2,Abasolo,1637,408,304,528,257,96,227,164,519,1.95,248,270,494,24,504,15,476,78
2,Baja California,1,Ensenada,998,ABC (Los Canelos) [Empaque],20,0,0,0,2,1,3,13,6,1.63,6,0,6,0,0,6,6,5
4,Campeche,3,Carmen,58,Abelardo L. Rodríguez,749,177,133,236,116,47,178,30,285,1.71,266,19,278,6,279,1,267,194
7,Chiapas,17,Cintalapa,2,Abelardo L. Rodríguez,524,47,42,159,111,37,106,61,170,1.25,163,6,168,2,164,6,158,121
7,Chiapas,19,Comitán de Domínguez,55,Abelardo L. Rodríguez,630,76,40,200,163,16,177,30,201,1.19,168,33,201,0,6,195,200,93
7,Chiapas,51,Mapastepec,205,Abraham González,446,65,64,123,102,28,71,53,156,1.6,140,16,156,0,124,32,152,135
5,Coahuila de Zaragoza,24,Parras,3,Abrevadero,267,24,10,73,85,14,63,10,102,1.37,101,1,102,0,101,1,86,79
7,Chiapas,3,Acapetahua,81,Absalón Castellanos Domínguez,315,61,68,64,52,24,48,49,105,1.47,56,49,97,8,66,39,91,77
7,Chiapas,46,Jiquipilas,362,Absalón Castellanos Domínguez,190,23,22,46,37,14,48,19,66,1.81,50,16,63,3,62,4,60,38
7,Chiapas,51,Mapastepec,552,Absalón Castellanos Domínguez,17,0,2,5,4,1,5,0,5,2,2,3,1,4,5,0,5,0
7,Chiapas,52,Las Margaritas,862,Absalón Castellanos Domínguez,104,37,28,28,7,1,37,3,31,1.23,28,3,31,0,0,31,31,0
7,Chiapas,61,Ocozocoautla de Espinosa,526,Absalón Castellanos Domínguez,245,42,50,74,37,13,65,3,74,1.97,53,21,74,0,74,0,72,23
7,Chiapas,30,Chicomuselo,293,Absalón Castellanos Domínguez (Santo Domingo),50,7,3,22,5,0,20,0,19,2.06,8,11,19,0,0,19,17,8
7,Chiapas,1,Acacoyagua,1,Acacoyagua,5036,536,613,1148,875,306,839,1066,1808,1.52,1690,110,1775,24,1711,90,1744,1238
7,Chiapas,2,Acala,1,Acala,9593,1781,1754,1884,1711,441,1651,1824,3454,1.91,2998,433,3383,61,3396,43,3366,2544
5,Coahuila de Zaragoza,6,Castaños,2,Acámbaro (Acámbaro Viejo),7,4,4,3,0,0,0,0,4,0.7,3,0,4,0,0,3,3,3
5,Coahuila de Zaragoza,6,Castaños,212,Acámbaro de Arriba (Nuevo Acámbaro),82,10,9,17,25,1,28,2,36,1.1,36,0,35,0,22,14,36,32
7,Chiapas,3,Acapetahua,1,Acapetahua,4445,532,578,697,839,237,575,1372,1620,1.23,1385,221,1598,11,1022,584,1577,1286
1,Aguascalientes,1,Aguascalientes,876,Acapulco,13,1,0,1,2,1,3,5,4,1.1,4,0,4,0,0,4,4,4
7,Chiapas,5,Amatán,123,Acapulco,35,25,19,8,0,3,5,0,12,1.91,11,1,12,0,0,12,11,0
7,Chiapas,39,Huitiupán,164,Acapulquito,32,16,15,9,1,0,7,0,10,1.87,9,1,9,1,9,1,10,2
7,Chiapas,65,Palenque,457,Acapulquito,9,4,2,5,0,1,1,0,4,0.92,3,1,4,0,0,4,1,1
5,Coahuila de Zaragoza,6,Castaños,100,Acatita de Baján,16,6,4,9,0,0,3,0,7,1.05,7,0,6,1,5,2,7,4
6,Colima,2,Colima,49,Acatitán,145,15,9,34,32,10,40,18,53,1.17,47,6,52,1,47,6,50,48
5,Coahuila de Zaragoza,10,Frontera,90,Acatlán,4,0,0,1,1,1,0,1,3,1,3,0,2,1,1,2,3,0
5,Coahuila de Zaragoza,23,Ocampo,2,Acebuches,64,6,3,26,3,3,27,1,25,1.2,24,1,25,0,1,24,22,1
7,Chiapas,59,Ocosingo,2826,Ach Lumal,57,37,36,14,2,1,3,1,17,2.9,0,17,17,0,17,0,5,0
7,Chiapas,31,Chilón,348,Achaleljá,65,23,18,18,8,4,12,4,21,3.45,11,10,3,16,17,4,21,0
7,Chiapas,51,Mapastepec,110,Achiotillo,15,4,5,2,2,2,1,3,4,2.43,3,1,4,0,0,4,3,3
7,Chiapas,65,Palenque,1239,Ach'Lum Maya,56,8,9,19,6,7,13,0,20,2.76,19,1,20,0,0,20,5,5
7,Chiapas,59,Ocosingo,117,Ach'Lum Monte Líbano,389,98,104,96,67,14,61,33,115,1.94,90,23,111,2,112,2,112,44
7,Chiapas,65,Palenque,1278,Ach'Lum San Marcos,45,15,14,14,5,3,9,0,17,2.34,3,14,16,1,0,17,4,2
7,Chiapas,61,Ocozocoautla de Espinosa,528,Ach'Lum Tierra Nueva,276,53,38,89,63,12,60,10,84,1.68,51,33,81,3,77,7,84,37
7,Chiapas,26,Chenalhó,2,Acteal,70,28,23,30,2,2,13,0,20,3.97,14,6,19,1,16,4,19,1
7,Chiapas,26,Chenalhó,178,Acteal Alto,177,74,50,50,8,2,65,1,53,3.17,35,17,41,10,16,32,46,0
4,Campeche,3,Carmen,829,Adolfo López Mateos,51,8,8,14,13,3,11,1,20,1.51,20,0,11,9,1,19,18,0
4,Campeche,9,Escárcega,965,Adolfo López Mateos,276,27,22,51,95,10,31,57,103,1.27,99,3,102,0,101,2,100,93
4,Campeche,11,Candelaria,8,Adolfo López Mateos,8,2,2,3,2,0,1,0,3,2.13,0,3,0,3,0,3,0,0
4,Campeche,11,Candelaria,814,Adolfo López Mateos,36,10,7,5,15,2,6,1,11,2.19,6,5,1,10,11,0,3,0
7,Chiapas,2,Acala,2,Adolfo López Mateos,396,66,74,70,107,13,52,64,118,1.57,105,11,117,1,113,2,113,100
