NOM_ENT,NOM_LOC,P15.sesc,P15cpri.inc,P15cpri.com,P15csec.inc,P15csec.com,P18.c.post,VIV5_R,VIV6.complemento,VIV6,CVEGEO
Nuevo León,Las Cruces [Carretera Nacional Kilómetro 236],4,8,15,4,10,3,1.31,17,2,190040102
Nuevo León,Colinas del Vergel,0,0,0,0,0,6,0.73,3,0,190040111
Nuevo León,Villas de San Antonio,0,1,1,1,1,4,0.81,4,0,190040113
Nuevo León,Campestre All Green,2,2,5,0,3,2,1.06,7,0,190040117
Nuevo León,Villas Campestres de Rancho Grande,0,5,4,2,4,4,1.43,8,0,190040118
Nuevo León,Total del Municipio,619,2283,2702,716,2456,2879,1,4619,225,190050000
Nuevo León,Anáhuac,509,1842,2342,668,2233,2730,1,4113,133,190050001
Nuevo León,Nuevo Anáhuac,20,32,15,0,11,5,1.27,15,17,190050018
Nuevo León,Nuevo Camarón,1,21,18,2,2,2,1,15,3,190050019
Nuevo León,Nuevo Rodríguez,7,23,15,2,13,4,0.93,24,6,190050020
Nuevo León,La Burra,0,1,2,1,1,0,0.5,3,0,190050025
Nuevo León,Regantes Número Catorce,0,3,4,0,4,1,1.08,4,0,190050032
Nuevo León,Salinillas,4,17,20,3,16,3,1.44,26,3,190050045
Nuevo León,Las Bugambilias,0,3,2,1,0,0,1.14,3,0,190050048
Nuevo León,La Capilla,0,5,1,0,0,0,2.4,3,0,190050062
Nuevo León,Colombia,19,70,65,15,85,84,1.06,140,9,190050209
Nuevo León,Colombia,0,4,6,1,5,1,1.5,5,1,190050210
Nuevo León,Los Cueva,2,0,2,1,1,0,1.17,3,1,190050256
Nuevo León,La Gloria,1,13,17,0,6,2,1.48,16,1,190050278
Nuevo León,Los Hernández,0,2,5,0,0,1,1.29,3,0,190050284
Nuevo León,Puente del Río Salado,0,8,8,1,2,3,1.38,7,1,190050326
Nuevo León,Los Torres,0,3,4,1,0,1,1.75,4,0,190050373
Nuevo León,Capilla San Isidro,0,3,2,0,0,0,2.75,1,2,190050509
Nuevo León,Los Ángeles,1,4,2,0,0,0,0.57,4,2,190050541
Nuevo León,José Quintero,0,5,2,1,0,0,0.73,4,0,190050563
Nuevo León,Lázaro Cárdenas,5,14,7,2,6,6,1.11,12,2,190050859
Nuevo León,Total del Municipio,5912,15582,34931,15545,109865,149408,0.98,127409,1428,190060000
Nuevo León,Ciudad Apodaca,5384,14205,31636,13934,97873,134883,0.97,113320,1141,190060001
Nuevo León,Agua Fría,17,56,90,54,111,150,0.95,161,8,190060005
Nuevo León,Loma la Paz,72,228,569,213,1568,460,1.33,1214,19,190060078
Nuevo León,Santa Rosa,89,271,627,218,2060,2815,0.96,2641,158,190060133
Nuevo León,Campestre Huinalá,5,30,61,34,325,713,0.97,521,1,190060174
Nuevo León,Patricio Zambrano (Los Leones),0,2,8,1,2,3,2.3,5,1,190060187
Nuevo León,San Jerónimo (La Hacienda),1,2,2,0,1,0,0.8,4,0,190060193
Nuevo León,Caballerizas,1,0,5,0,0,1,1.33,3,0,190060198
Nuevo León,La Labor de la Virgen,1,1,1,0,0,1,1.5,3,0,190060204
Nuevo León,Nueva Santa Rosa,0,2,4,2,1,0,1.18,3,0,190060228
Nuevo León,Santa Beva (San Fernando),1,1,0,0,5,0,1.67,4,0,190060239
Nuevo León,Entronque Laredo-Salinas Victoria,33,112,238,105,893,579,1.13,431,0,190060243
Nuevo León,La Escondida,0,4,1,6,3,0,2,4,0,190060294
Nuevo León,El Rodeo,0,2,3,1,1,1,1.5,3,0,190060304
Nuevo León,Artemio Treviño,76,134,199,98,429,138,1.22,400,14,190060329
Nuevo León,Teresita,2,3,4,1,4,1,2.36,4,0,190060366
Nuevo León,Prados de Santa Rosa,103,245,524,281,1776,2734,1.03,2420,39,190060379
Nuevo León,Ex-Hacienda de Santa Rosa,0,2,3,0,1,0,1.2,2,1,190060383
Nuevo León,Fraccionamiento Cosmópolis Octavo Sector,33,42,157,74,619,908,0.95,819,4,190060385
Nuevo León,Ex-Hacienda Santa Rosa,19,77,213,186,1333,3818,0.9,2640,11,190060388
Nuevo León,Fraccionamiento Misión de San Javier,10,40,133,151,542,455,1.04,605,18,190060389
Nuevo León,Misión San Pablo,55,111,418,181,2285,1584,1.01,2089,8,190060392
Nuevo León,Radica,0,0,2,0,2,64,0.57,34,0,190060402
Nuevo León,Triana,0,0,1,1,8,59,0.78,34,0,190060403
